ranking,year,month,airline_code,airline_name,total_flights
1,2010,1,WN,Southwest Airlines Co.,3603
2,2010,1,OO,SkyWest Airlines Inc.,1931
3,2010,1,MQ,Envoy Air,1469
4,2010,1,AA,American Airlines Inc.,1863
5,2010,1,DL,Delta Air Lines Inc.,2280
6,2010,1,EV,ExpressJet Airlines Inc.,976
7,2010,1,9E,Endeavor Air Inc.,875
8,2010,1,XE,ExpressJet Airlines Inc. (1),1094
9,2010,1,US,US Airways Inc.,1350
10,2010,1,YV,Mesa Airlines Inc.,737
11,2010,1,OH,Comair Inc.,442
12,2010,1,UA,United Air Lines Inc.,1110
13,2010,1,FL,AirTran Airways Corporation,797
14,2010,1,B6,JetBlue Airways,650
15,2010,1,CO,Continental Air Lines Inc.,787
16,2010,1,AS,Alaska Airlines Inc.,421
17,2010,1,F9,Frontier Airlines Inc.,258
18,2010,1,HA,Hawaiian Airlines Inc.,230
1,2010,5,AA,American Airlines Inc.,1821
2,2010,5,MQ,Envoy Air,1467
3,2010,5,OO,SkyWest Airlines Inc.,2014
4,2010,5,XE,ExpressJet Airlines Inc. (1),1328
5,2010,5,WN,Southwest Airlines Co.,3888
6,2010,5,DL,Delta Air Lines Inc.,2454
7,2010,5,9E,Endeavor Air Inc.,897
8,2010,5,EV,ExpressJet Airlines Inc.,1039
9,2010,5,OH,Comair Inc.,463
10,2010,5,B6,JetBlue Airways,644
11,2010,5,YV,Mesa Airlines Inc.,553
12,2010,5,UA,United Air Lines Inc.,1155
13,2010,5,FL,AirTran Airways Corporation,857
14,2010,5,US,US Airways Inc.,1364
15,2010,5,F9,Frontier Airlines Inc.,286
16,2010,5,CO,Continental Air Lines Inc.,798
17,2010,5,HA,Hawaiian Airlines Inc.,220
18,2010,5,AS,Alaska Airlines Inc.,462
1,2010,9,OO,SkyWest Airlines Inc.,1955
2,2010,9,DL,Delta Air Lines Inc.,2469
3,2010,9,MQ,Envoy Air,1461
4,2010,9,9E,Endeavor Air Inc.,804
5,2010,9,XE,ExpressJet Airlines Inc. (1),1273
6,2010,9,AA,American Airlines Inc.,1737
7,2010,9,EV,ExpressJet Airlines Inc.,1064
8,2010,9,WN,Southwest Airlines Co.,3661
9,2010,9,OH,Comair Inc.,542
10,2010,9,B6,JetBlue Airways,634
11,2010,9,US,US Airways Inc.,1354
12,2010,9,YV,Mesa Airlines Inc.,510
13,2010,9,UA,United Air Lines Inc.,1123
14,2010,9,AS,Alaska Airlines Inc.,459
15,2010,9,CO,Continental Air Lines Inc.,743
16,2010,9,F9,Frontier Airlines Inc.,273
17,2010,9,FL,AirTran Airways Corporation,763
18,2010,9,HA,Hawaiian Airlines Inc.,219
