ranking,Flight_date,airline_code,airline_name,num_canceled
1,2010-01-01,US,US Airways Inc.,5
2,2010-01-01,YV,Mesa Airlines Inc.,1
3,2010-01-01,FL,AirTran Airways Corporation,1
4,2010-01-01,OH,Comair Inc.,1
5,2010-01-01,OO,SkyWest Airlines Inc.,1
1,2010-01-02,OH,Comair Inc.,4
2,2010-01-02,9E,Endeavor Air Inc.,1
3,2010-01-02,WN,Southwest Airlines Co.,1
1,2010-01-03,US,US Airways Inc.,6
2,2010-01-03,DL,Delta Air Lines Inc.,3
3,2010-01-03,AA,American Airlines Inc.,2
4,2010-01-03,OH,Comair Inc.,2
5,2010-01-03,9E,Endeavor Air Inc.,1
6,2010-01-03,AS,Alaska Airlines Inc.,1
7,2010-01-03,MQ,Envoy Air,1
1,2010-01-04,9E,Endeavor Air Inc.,2
2,2010-01-04,B6,JetBlue Airways,1
3,2010-01-04,WN,Southwest Airlines Co.,1
4,2010-01-04,MQ,Envoy Air,1
5,2010-01-04,OO,SkyWest Airlines Inc.,1
6,2010-01-04,UA,United Air Lines Inc.,1
7,2010-01-04,US,US Airways Inc.,1
1,2010-01-05,WN,Southwest Airlines Co.,4
2,2010-01-05,AA,American Airlines Inc.,2
3,2010-01-05,9E,Endeavor Air Inc.,1
4,2010-01-05,MQ,Envoy Air,1
5,2010-01-05,UA,United Air Lines Inc.,1
1,2010-01-06,WN,Southwest Airlines Co.,3
2,2010-01-06,OO,SkyWest Airlines Inc.,3
3,2010-01-06,9E,Endeavor Air Inc.,1
4,2010-01-06,AS,Alaska Airlines Inc.,1
5,2010-01-06,EV,ExpressJet Airlines Inc.,1
6,2010-01-06,MQ,Envoy Air,1
1,2010-01-07,DL,Delta Air Lines Inc.,10
2,2010-01-07,WN,Southwest Airlines Co.,7
3,2010-01-07,EV,ExpressJet Airlines Inc.,7
4,2010-01-07,XE,ExpressJet Airlines Inc. (1),5
5,2010-01-07,MQ,Envoy Air,4
6,2010-01-07,OO,SkyWest Airlines Inc.,4
7,2010-01-07,UA,United Air Lines Inc.,4
8,2010-01-07,9E,Endeavor Air Inc.,3
9,2010-01-07,AA,American Airlines Inc.,2
10,2010-01-07,FL,AirTran Airways Corporation,2
11,2010-01-07,OH,Comair Inc.,2
12,2010-01-07,YV,Mesa Airlines Inc.,1
1,2010-01-08,DL,Delta Air Lines Inc.,5
2,2010-01-08,XE,ExpressJet Airlines Inc. (1),4
3,2010-01-08,AA,American Airlines Inc.,3
4,2010-01-08,WN,Southwest Airlines Co.,3
5,2010-01-08,EV,ExpressJet Airlines Inc.,2
6,2010-01-08,MQ,Envoy Air,2
7,2010-01-08,UA,United Air Lines Inc.,2
8,2010-01-08,YV,Mesa Airlines Inc.,1
9,2010-01-08,FL,AirTran Airways Corporation,1
10,2010-01-08,OO,SkyWest Airlines Inc.,1
1,2010-01-09,OO,SkyWest Airlines Inc.,3
2,2010-01-09,EV,ExpressJet Airlines Inc.,2
3,2010-01-09,AA,American Airlines Inc.,1
4,2010-01-09,UA,United Air Lines Inc.,1
1,2010-01-10,CO,Continental Air Lines Inc.,4
2,2010-01-10,XE,ExpressJet Airlines Inc. (1),2
3,2010-01-10,B6,JetBlue Airways,1
4,2010-01-10,DL,Delta Air Lines Inc.,1
5,2010-01-10,WN,Southwest Airlines Co.,1
6,2010-01-10,MQ,Envoy Air,1
7,2010-01-10,OO,SkyWest Airlines Inc.,1
8,2010-01-10,UA,United Air Lines Inc.,1
1,2010-01-11,AA,American Airlines Inc.,1
2,2010-01-11,WN,Southwest Airlines Co.,1
3,2010-01-11,EV,ExpressJet Airlines Inc.,1
4,2010-01-11,OO,SkyWest Airlines Inc.,1
1,2010-01-12,OO,SkyWest Airlines Inc.,3
2,2010-01-12,AA,American Airlines Inc.,2
3,2010-01-12,CO,Continental Air Lines Inc.,1
4,2010-01-12,WN,Southwest Airlines Co.,1
5,2010-01-12,FL,AirTran Airways Corporation,1
6,2010-01-12,MQ,Envoy Air,1
1,2010-01-13,OO,SkyWest Airlines Inc.,3
2,2010-01-13,AA,American Airlines Inc.,2
3,2010-01-13,B6,JetBlue Airways,1
4,2010-01-13,DL,Delta Air Lines Inc.,1
5,2010-01-13,WN,Southwest Airlines Co.,1
6,2010-01-13,US,US Airways Inc.,1
1,2010-01-14,WN,Southwest Airlines Co.,2
2,2010-01-14,9E,Endeavor Air Inc.,1
3,2010-01-14,AA,American Airlines Inc.,1
4,2010-01-14,OO,SkyWest Airlines Inc.,1
5,2010-01-14,US,US Airways Inc.,1
1,2010-01-15,MQ,Envoy Air,2
2,2010-01-15,AA,American Airlines Inc.,1
3,2010-01-15,WN,Southwest Airlines Co.,1
4,2010-01-15,YV,Mesa Airlines Inc.,1
